,Company,# Laid Off,% Laid Off,Date Added,Ticker,$ Change 5D,% Change 5D,$ Change 1Y,% Change 1Y
267,Eventbrite,100.0,11%,8/8/2024,EB,-0.72,-18.95,-1.26,-33.16
268,Sonder,100.0,14%,3/1/2023,SOND,2.0,9.9,-14.84,-73.47
269,Sonos,100.0,6%,8/14/2024,SONO,0.18,1.61,1.97,17.57
270,Adaptive Biotechnologies,100.0,12%,5/29/2022,ADPT,-1.28,-15.57,-1.23,-14.96
271,Blend,100.0,6%,12/8/2022,BLND,0.05,4.35,0.46,40.0
272,Sprinklr,100.0,4%,2/15/2023,CXM,-0.26,-2.35,1.86,16.82
273,Amplitude,99.0,13%,4/5/2023,AMPL,-0.22,-1.84,-1.48,-12.38
274,BlackLine,95.0,5%,8/24/2023,BL,4.7,8.97,-1.54,-2.94
275,Edgio,95.0,10%,12/14/2022,EGIOQ,-4.4,-8.53,-33.54,-64.99
276,Digimarc,90.0,40%,3/4/2025,DMRC,-0.33,-2.23,-6.0,-40.6
277,Domo,90.0,10%,4/10/2020,DOMO,3.27,27.9,45.86,391.3
278,Freshworks,90.0,2%,12/15/2022,FRSH,-0.13,-0.89,9.52,65.07
279,Olo,81.0,11%,6/14/2023,OLO,-0.3,-4.07,-2.86,-38.81
280,AudioCodes,80.0,6%,7/16/2023,AUDC,-0.29,-3.17,1.3,14.05
281,Eventbrite,80.0,8%,2/28/2023,EB,0.12,1.37,-2.96,-33.79
282,Edgio,80.0,10%,3/7/2024,EGIOQ,0.16,2.0,-8.0,-100.0
283,AudioCodes,80.0,6%,5/9/2023,AUDC,-1.54,-16.99,0.33,3.64
284,Chegg,80.0,4%,6/13/2023,CHGG,-0.81,-7.63,-7.18,-67.67
285,Mogo,78.0,30%,4/3/2020,MOGO,0.39,13.98,26.76,959.14
286,23andMe,75.0,9%,6/9/2023,MEHCQ,-1.4,-3.63,-30.52,-79.07
287,Palantir,75.0,2%,2/27/2023,PLTR,0.3,3.74,16.5,205.48
288,Kaltura,75.0,11%,1/5/2023,KLTR,0.1,5.26,-0.22,-11.58
289,23andMe,71.0,11%,8/8/2023,MEHCQ,-7.7,-22.13,-27.32,-78.51
290,Satellogic,70.0,30%,6/18/2024,SATL,-0.06,-5.56,2.44,225.93
291,Ibotta,70.0,8%,2/24/2025,IBTA,-31.62,-48.64,-33.78,-51.96
292,Skillz,70.0,10%,5/21/2022,SKLZ,-0.2,-0.55,-25.74,-70.33
293,Kaltura,70.0,10%,8/9/2025,KLTR,-0.23,-13.22,-0.23,-13.22
294,Hims & Hers,68.0,4%,6/5/2025,HIMS,2.48,4.7,1.96,3.71
295,Nextdoor,67.0,12%,8/18/2025,NXDR,0.05,2.49,0.02,1.0
